filing_id	principal_id	state	filing_type	filer_role	reporting_period_start	reporting_period_end	total_expenditure	total_hours_communicating	total_hours_other	source_url
WI-principal-11028-expenditure-2025-H1	11028	WI	expenditure_report	client	2025-01-01	2025-06-30	0.0	81.3	12.5	https://lobbying.wi.gov/Who/PrincipalInformation/2025REG/Information/11028
WI-principal-11028-expenditure-2025-H2	11028	WI	expenditure_report	client	2025-07-01	2025-12-31	30000.0	37.7	5.5	https://lobbying.wi.gov/Who/PrincipalInformation/2025REG/Information/11028
WI-principal-11030-expenditure-2025-H1	11030	WI	expenditure_report	client	2025-01-01	2025-06-30	33504.0	80.0	260.0	https://lobbying.wi.gov/Who/PrincipalInformation/2025REG/Information/11030
WI-principal-11030-expenditure-2025-H2	11030	WI	expenditure_report	client	2025-07-01	2025-12-31	23000.0	57.5	99.5	https://lobbying.wi.gov/Who/PrincipalInformation/2025REG/Information/11030
WI-principal-11031-expenditure-2025-H1	11031	WI	expenditure_report	client	2025-01-01	2025-06-30	56498.93	221.0	771.0	https://lobbying.wi.gov/Who/PrincipalInformation/2025REG/Information/11031
WI-principal-11031-expenditure-2025-H2	11031	WI	expenditure_report	client	2025-07-01	2025-12-31	47645.77	191.0	629.0	https://lobbying.wi.gov/Who/PrincipalInformation/2025REG/Information/11031
WI-principal-11036-expenditure-2025-H1	11036	WI	expenditure_report	client	2025-01-01	2025-06-30	5976.7	26.0	45.2	https://lobbying.wi.gov/Who/PrincipalInformation/2025REG/Information/11036
WI-principal-11036-expenditure-2025-H2	11036	WI	expenditure_report	client	2025-07-01	2025-12-31	5960.0	11.8	32.7	https://lobbying.wi.gov/Who/PrincipalInformation/2025REG/Information/11036
WI-principal-11037-expenditure-2025-H1	11037	WI	expenditure_report	client	2025-01-01	2025-06-30	0.0	0.0	0.0	https://lobbying.wi.gov/Who/PrincipalInformation/2025REG/Information/11037
WI-principal-11037-expenditure-2025-H2	11037	WI	expenditure_report	client	2025-07-01	2025-12-31	0.0	0.0	0.0	https://lobbying.wi.gov/Who/PrincipalInformation/2025REG/Information/11037
WI-principal-11038-expenditure-2025-H1	11038	WI	expenditure_report	client	2025-01-01	2025-06-30	18879.0	11.5	68.5	https://lobbying.wi.gov/Who/PrincipalInformation/2025REG/Information/11038
WI-principal-11038-expenditure-2025-H2	11038	WI	expenditure_report	client	2025-07-01	2025-12-31	18548.64	26.5	63.0	https://lobbying.wi.gov/Who/PrincipalInformation/2025REG/Information/11038
