column	flag	jurisdiction	n_matched	offset_px	raw	scan_page	table
review_field_all	unknown_marker	Pennsylvania			NA.	170	30
review_desk_or_field_all	unknown_marker	Pennsylvania			N.A.	170	30
review_desk_over_threshold	unknown_marker	Pennsylvania			N.A.	170	30
review_field_over_threshold	unknown_marker	Pennsylvania			N.A.	170	30
review_desk_or_field_over_threshold	unknown_marker	Pennsylvania			N.A.	170	30
review_desk_random	unknown_marker	Pennsylvania			N.A.	170	30
review_field_random	unknown_marker	Pennsylvania			N.A.	170	30
review_desk_or_field_random	unknown_marker	Pennsylvania			N.A.	170	30
review_desk_complaints	unknown_marker	Pennsylvania			N.A.	170	30
review_field_complaints	unknown_marker	Pennsylvania			N.A.	170	30
review_desk_or_field_complaints	unknown_marker	Pennsylvania			N.A.	170	30
public_access_unrestricted	unknown_marker	Pennsylvania			N.A.	170	30
public_access_restricted	unknown_marker	Pennsylvania			N.A.	170	30
public_access_not_available	unknown_marker	Pennsylvania			N.A.	170	30
public_access_agency_compiles_publishes	unknown_marker	Pennsylvania			N.A.	170	30
public_access_agency_compiles_publishes	unknown_marker	South Dakota			(0)	170	30
review_desk_all	unknown_marker	Texas			(q) (r)	170	30
public_access_agency_compiles_publishes	unknown_marker	Texas			(u)	170	30
review_field_complaints	unknown_marker	West Virginia			~	170	30
review_desk_all	unknown_marker	Wyoming			N.A.	170	30
review_field_all	unknown_marker	Wyoming			N.A.	170	30
review_desk_or_field_all	unknown_marker	Wyoming			N.A.	170	30
review_desk_over_threshold	unknown_marker	Wyoming			N.A.	170	30
review_field_over_threshold	unknown_marker	Wyoming			N.A.	170	30
review_desk_or_field_over_threshold	unknown_marker	Wyoming			N.A.	170	30
review_field_random	unknown_marker	Wyoming			N.A.	170	30
review_desk_or_field_random	unknown_marker	Wyoming			N.A.	170	30
review_desk_complaints	unknown_marker	Wyoming			N.A.	170	30
review_field_complaints	unknown_marker	Wyoming			N.A.	170	30
review_desk_or_field_complaints	unknown_marker	Wyoming			N.A.	170	30
public_access_unrestricted	unknown_marker	Wyoming			N.A.	170	30
public_access_restricted	unknown_marker	Wyoming			N.A.	170	30
public_access_not_available	unknown_marker	Wyoming			N.A.	170	30
public_access_agency_compiles_publishes	unknown_marker	Wyoming			N.A.	170	30
	scan_offset_applied		8	-19.2		172	31
auth_conduct_administrative_hearings	unknown_marker	Alaska			.	172	31
auth_subpoena_witnesses	unknown_marker	Arizona			N.A.	172	31
auth_subpoena_records	unknown_marker	Arizona			N.A.	172	31
auth_conduct_administrative_hearings	unknown_marker	Arizona			N.A.	172	31
auth_impose_administrative_fines	unknown_marker	Arizona			N.A.	172	31
auth_file_independent_court_actions	unknown_marker	Arizona			N.A.	172	31
auth_request_other_official_mandatory	unknown_marker	Arizona			N.A.	172	31
auth_request_other_official_discretionary	unknown_marker	Arizona			N.A.	172	31
auth_impose_administrative_fines	unknown_marker	California			(a)	172	31
auth_subpoena_records	unknown_marker	Connecticut			.	172	31
auth_subpoena_witnesses	unknown_marker	Georgia			N.A.	172	31
auth_subpoena_records	unknown_marker	Georgia			N.A.	172	31
auth_conduct_administrative_hearings	unknown_marker	Georgia			N.A.	172	31
auth_impose_administrative_fines	unknown_marker	Georgia			N.A.	172	31
auth_file_independent_court_actions	unknown_marker	Georgia			N.A.	172	31
auth_request_other_official_mandatory	unknown_marker	Georgia			N.A.	172	31
auth_request_other_official_discretionary	unknown_marker	Georgia			N.A.	172	31
auth_subpoena_records	unknown_marker	Hawaii			‘	172	31
auth_subpoena_witnesses	unknown_marker	Idaho			N.A.	172	31
	scan_offset_applied		8	5.5		173	31
auth_subpoena_witnesses	unknown_marker	Illinois			N.A.	173	31
auth_impose_administrative_fines	unknown_marker	Indiana			(b)	173	31
auth_conduct_administrative_hearings	unknown_marker	Iowa			(d)	173	31
auth_subpoena_witnesses	unknown_marker	Kentucky			N.A.	173	31
auth_subpoena_records	unknown_marker	Kentucky			N.A.	173	31
auth_conduct_administrative_hearings	unknown_marker	Kentucky			NA.	173	31
auth_impose_administrative_fines	unknown_marker	Kentucky			N.A. (e)	173	31
auth_request_other_official_discretionary	unknown_marker	Kentucky			N.A.	173	31
auth_impose_administrative_fines	unknown_marker	Maryland			(g) (f)	173	31
auth_impose_administrative_fines	unknown_marker	Michigan			(h) (k)	173	31
auth_impose_administrative_fines	unknown_marker	Minnesota			(m)	173	31
	scan_offset_applied		8	-3.6		174	31
auth_subpoena_witnesses	unknown_marker	Missouri			N.A.	174	31
auth_subpoena_records	unknown_marker	Missouri			N.A.	174	31
auth_conduct_administrative_hearings	unknown_marker	Missouri			N.A.	174	31
auth_impose_administrative_fines	unknown_marker	Missouri			N.A.	174	31
auth_file_independent_court_actions	unknown_marker	Missouri			N.A.	174	31
auth_request_other_official_mandatory	unknown_marker	Missouri			N.A.	174	31
auth_request_other_official_discretionary	unknown_marker	Missouri			N.A.	174	31
auth_impose_administrative_fines	unknown_marker	Nebraska			(0)	174	31
auth_request_other_official_mandatory	unknown_marker	New Jersey			—_	174	31
auth_conduct_administrative_hearings	unknown_marker	New Mexico			N.A. =	174	31
auth_impose_administrative_fines	unknown_marker	New Mexico			N.A. (q)	174	31
auth_file_independent_court_actions	unknown_marker	New Mexico			N.A.	174	31
auth_request_other_official_mandatory	unknown_marker	New Mexico			N.A.	174	31
auth_request_other_official_discretionary	unknown_marker	New Mexico			N.A.	174	31
auth_subpoena_witnesses	unknown_marker	Ohio			N.A.	174	31
auth_subpoena_records	unknown_marker	Ohio			N.A.	174	31
auth_conduct_administrative_hearings	unknown_marker	Ohio			N.A.	174	31
auth_impose_administrative_fines	unknown_marker	Ohio			N.A.	174	31
auth_file_independent_court_actions	unknown_marker	Ohio			N.A.	174	31
auth_request_other_official_mandatory	unknown_marker	Ohio			N.A.	174	31
auth_request_other_official_discretionary	unknown_marker	Ohio			N.A.	174	31
	scan_offset_applied		8	24.4		175	31
auth_request_other_official_mandatory	unknown_marker	Oklahoma			Basis	175	31
auth_request_other_official_discretionary	unknown_marker	Oklahoma			Basis	175	31
auth_subpoena_witnesses	unknown_marker	Pennsylvania			N.A.	175	31
auth_subpoena_records	unknown_marker	Pennsylvania			N.A.	175	31
auth_file_independent_court_actions	unknown_marker	Pennsylvania			~	175	31
auth_request_other_official_mandatory	unknown_marker	Pennsylvania			~	175	31
auth_subpoena_witnesses	unknown_marker	Rhode Island			NA.	175	31
auth_subpoena_records	unknown_marker	Rhode Island			NA.	175	31
auth_conduct_administrative_hearings	unknown_marker	Rhode Island			N.A.	175	31
auth_impose_administrative_fines	unknown_marker	Rhode Island			N.A.	175	31
auth_file_independent_court_actions	unknown_marker	Rhode Island			N.A.	175	31
auth_request_other_official_mandatory	unknown_marker	Rhode Island			N.A.	175	31
auth_request_other_official_discretionary	unknown_marker	Rhode Island			N.A.	175	31
auth_subpoena_witnesses	unknown_marker	South Carolina			N.A,	175	31
auth_subpoena_records	unknown_marker	South Carolina			N.A.	175	31
auth_conduct_administrative_hearings	unknown_marker	South Carolina			N.A.	175	31
auth_impose_administrative_fines	unknown_marker	South Carolina			N.A.	175	31
auth_file_independent_court_actions	unknown_marker	South Carolina			N.A.	175	31
auth_request_other_official_mandatory	unknown_marker	South Carolina			N.A.	175	31
auth_request_other_official_discretionary	unknown_marker	South Carolina			N.A.	175	31
auth_file_independent_court_actions	unknown_marker	South Dakota			N.A.	175	31
auth_request_other_official_mandatory	unknown_marker	South Dakota			N.A.	175	31
auth_request_other_official_discretionary	unknown_marker	South Dakota			N.A.	175	31
auth_impose_administrative_fines	unknown_marker	Texas			(w) (y)	175	31
auth_subpoena_witnesses	unknown_marker	Vermont			~_	175	31
auth_file_independent_court_actions	unknown_marker	Vermont			~—	175	31
auth_subpoena_records	unknown_marker	Virginia			—_	175	31
auth_file_independent_court_actions	unknown_marker	Virginia			~	175	31
	scan_offset_applied		8	4.3		176	31
auth_subpoena_witnesses	unknown_marker	Alberta			—_N.A.	176	31
auth_subpoena_records	unknown_marker	Alberta			N.A.	176	31
auth_conduct_administrative_hearings	unknown_marker	Alberta			N.A.	176	31
